RE	TF	cnt	HOTness
chrIII:11480872-11480998	ces-1	1	cold
chrIII:11481375-11481627	ceh-31,ceh-34,ces-1,eyg-1,hlh-1,mls-2,nfya-1,sdc-2,sptf-1,tbx-2,ztf-11	11	cold
chrIII:11482109-11482266	ces-1	1	cold
chrIII:11492998-11493106	.	0	cold
chrIII:11494050-11494181	.	0	cold
chrIII:11494418-11494512	cebp-1,eor-1,hlh-30,pha-4,snu-23	5	cold
chrIII:11494556-11494667	cebp-1,eor-1,pha-4,snu-23	4	cold
chrIII:11494896-11495076	ceh-34	1	cold
chrIII:11496528-11496693	blmp-1,cebp-1,crh-2,dve-1,elt-2,elt-3,eor-1,fos-1,hlh-30,jun-1,lsy-2,mdl-1,nhr-20,nhr-80,nhr-90,pha-4,pqm-1,sma-3,snu-23	19	HOT
chrIII:11505273-11505377	ces-1,dpl-1,efl-1,eor-1,lin-35,lsy-2,nfya-1,pha-4,unc-130,unc-55	10	cold
chrIII:11505610-11505722	.	0	cold
chrIII:11508879-11508986	.	0	cold
chrIII:11509027-11509105	.	0	cold
chrIII:11515220-11515428	dpl-1	1	cold
chrIII:11524121-11524227	efl-1,unc-130,xnd-1	3	cold
chrIII:11526439-11526542	dpl-1,dsc-1,efl-1,eor-1,hmg-11,irx-1,lin-35,lsy-2,nhr-23,pha-4,unc-55	11	cold
chrIII:11534449-11534608	.	0	cold
chrIII:11534723-11534896	xnd-1	1	cold
chrIII:11547730-11547954	daf-16,dve-1	2	cold
chrIII:11548105-11548222	daf-16,dve-1,elt-2,fos-1,nhr-80	5	cold
chrIII:11551381-11551577	.	0	cold
chrIII:11554268-11554427	.	0	cold
chrIII:11554651-11554771	daf-16,die-1,duxl-1,dve-1,elt-2,him-1,hlh-30,lin-35,lsy-2,madf-10,mdl-1,mxl-1,nhr-20,nhr-21,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,rec-8,rpc-1,sma-3,snu-23,spr-1,unc-130,zfp-2,ztf-18	27	HOT
chrIII:11554902-11555050	duxl-1,him-1,hlh-30,madf-10,mdl-1,nhr-20,nhr-25,nhr-71,nhr-85,snu-23,spr-1,zfp-2	12	cold
chrIII:11555937-11556179	.	0	cold
chrIII:11556858-11557109	aly-1,ceh-31,dpl-1,efl-1,elt-3,eor-1,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-85,nhr-90,pros-1,snu-23,swsn-7	16	cold
chrIII:11557417-11557546	elt-3,hlh-30	2	cold
chrIII:11558211-11558341	nhr-25,nhr-85,snu-23	3	cold
chrIII:11558389-11558588	nhr-25,nhr-85,snu-23,sptf-1	4	cold
chrIII:11558860-11558959	.	0	cold
chrIII:11559575-11559920	blmp-1,nhr-25,sma-3,snu-23,ztf-11	5	cold
chrIII:11560180-11560274	.	0	cold
chrIII:11560662-11560792	ceh-36,sma-3	2	cold
chrIII:11561092-11561303	.	0	cold
chrIII:11561560-11561809	.	0	cold
chrIII:11565198-11565412	.	0	cold
chrIII:11565660-11565772	ces-1,dpl-1,efl-1,eor-1,hif-1,lin-35,lsy-2,mdl-1,nhr-23,nhr-90,snu-23,swsn-7,unc-55,unc-86,xbp-1	15	cold
chrIII:11577896-11578091	efl-1	1	cold
chrIII:11578238-11578392	efl-1	1	cold
chrIII:11580576-11580686	athp-1,crh-2,dpl-1,efl-1,egl-5,lin-35,lsy-2,nhr-47,pha-4,unc-55,xbp-1	11	cold
chrIII:11581415-11581523	efl-1,unc-130	2	cold
chrIII:11604090-11604261	.	0	cold
chrIII:11609033-11609150	rpc-1	1	cold
chrIII:11609651-11609773	fkh-8	1	cold
chrIII:11624879-11625004	ces-1,eor-1,lsy-2,nhr-23,nhr-25,sem-4,snu-23	7	cold
chrIII:11630519-11630646	daf-16	1	cold
chrIII:11631190-11631347	daf-16,dve-1,elt-2,fos-1,nhr-80,pqm-1	6	cold
chrIII:11641333-11641495	ceh-82,ces-1,dsc-1,efl-1,egl-13,eor-1,fkh-10,fkh-8,hlh-30,jun-1,lin-35,lsy-2,nhr-47,nhr-71,rbr-2,sem-4,sma-9,snu-23,swsn-7,unc-42,unc-86,xbp-1	22	HOT
chrIII:11650256-11650376	snu-23	1	cold
chrIII:11657246-11657370	aha-1,aly-2,atf-7,blmp-1,cebp-1,ceh-28,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-12,lsy-2,madf-10,mdl-1,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,rbr-2,repo-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,swsn-7,tbx-2,unc-55,unc-86,xbp-1,xnd-1,ztf-11,ztf-26,ztf-4,ztf-7	70	HOT
chrIII:11658628-11658872	nhr-85	1	cold
chrIII:11659813-11660052	cebp-1,eor-1,fkh-8,madf-10,nhr-47,nhr-80,unc-55	7	cold
chrIII:11660716-11660859	cebp-1,ceh-18,dsc-1,eor-1,fkh-10,hlh-30,lin-35,lsy-2,nhr-80,pha-4,sma-9,snu-23	12	cold
chrIII:11661771-11662049	pha-4	1	cold
chrIII:11662257-11662394	.	0	cold
chrIII:11662576-11662773	.	0	cold
chrIII:11663448-11663588	ceh-31,ces-1,crh-2,egl-13,eor-1,fkh-10,fkh-8,hlh-30,lin-35,lsy-2,nfya-1,nhr-47,nhr-71,sem-4,snu-23,swsn-7,unc-42	17	cold
chrIII:11666831-11666966	blmp-1,snu-23	2	cold
chrIII:11670251-11670379	dsc-1,hmg-11	2	cold
chrIII:11674401-11674652	ceh-48,dsc-1	2	cold
chrIII:11675490-11675653	.	0	cold
chrIII:11680188-11680427	ceh-36,sptf-1	2	cold
chrIII:11681369-11681525	cebp-1,fkh-8,mls-2	3	cold
chrIII:11684805-11684940	atf-7,ceh-28,crh-2,daf-16,dsc-1,dve-1,elt-2,eor-1,fkh-8,fos-1,hif-1,hlh-30,jun-1,lsy-2,madf-10,mdl-1,nhr-102,nhr-20,nhr-48,nhr-71,nhr-80,nhr-90,pha-4,pqm-1,sma-3,sma-9,snu-23,zip-8	28	HOT
chrIII:11688052-11688231	.	0	cold
chrIII:11689336-11689533	atf-7,blmp-1,cebp-1,ceh-82,crh-2,daf-16,dpl-1,dve-1,efl-1,elt-2,elt-3,eor-1,fos-1,hif-1,hlh-30,jun-1,lir-3,lsy-12,lsy-2,mdl-1,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,unc-130,vab-15,xbp-1,ztf-26,ztf-4,ztf-7	47	HOT
chrIII:11703013-11703148	.	0	cold
chrIII:11703615-11703763	.	0	cold
chrIII:11706604-11706853	ceh-28,nhr-23	2	cold
chrIII:11709913-11710033	ceh-48	1	cold
chrIII:11718611-11718709	cebp-1,daf-16,efl-1,him-1,rec-8,rpc-1	6	cold
chrIII:11718873-11719009	.	0	cold
chrIII:11719458-11719563	cebp-1,ceh-18,ceh-28,ceh-31,ceh-82,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-13,elt-2,elt-3,eor-1,fkh-8,fos-1,hlh-30,hmg-11,irx-1,jun-1,lin-35,lsy-2,mdl-1,nfya-1,nhr-102,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-85,nhr-90,pha-4,ref-2,sem-4,sma-3,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-55,unc-86,xbp-1,ztf-11	46	HOT
chrIII:11719631-11719733	cebp-1,ceh-18,ceh-28,ceh-31,ceh-82,crh-2,dpl-1,dve-1,efl-1,egl-13,elt-2,elt-3,eor-1,fkh-8,fos-1,hlh-30,hmg-11,irx-1,jun-1,lin-35,lsy-2,mdl-1,nfya-1,nhr-102,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-85,nhr-90,pha-4,ref-2,sem-4,sma-3,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-55,unc-86,xbp-1,ztf-11	44	HOT
chrIII:11721445-11721562	cebp-1,eor-1,fos-1,hlh-30,let-607,nhr-80	6	cold
chrIII:11726664-11726783	daf-16	1	cold
chrIII:11727040-11727164	elt-2,elt-3,fos-1,hlh-30,hmg-11,nhr-21,nhr-23,nhr-80,snu-23	9	cold
chrIII:11728319-11728459	.	0	cold
chrIII:11731527-11731743	.	0	cold
chrIII:11738480-11738626	atf-7,blmp-1,cebp-1,ceh-18,ces-1,crh-2,daf-16,die-1,dpl-1,dsc-1,dve-1,efl-1,elt-1,elt-3,eor-1,fos-1,hif-1,hlh-30,hmg-11,lin-35,lsy-2,mdl-1,nfya-1,nhr-20,nhr-47,nhr-71,nhr-85,nhr-90,rbr-2,rnt-1,sem-4,sma-3,sma-9,snpc-4,snu-23,swsn-7,unc-130,unc-55,xbp-1,ztf-26,ztf-4	41	HOT
chrIII:11740876-11741021	crh-2,eor-1,nhr-25,pha-4,snu-23,xbp-1	6	cold
chrIII:11742244-11742356	blmp-1,sem-4,snu-23	3	cold
chrIII:11742799-11742971	.	0	cold
chrIII:11743904-11744018	ceh-31,ces-1,sem-4,unc-42	4	cold
chrIII:11745092-11745232	.	0	cold
chrIII:11746497-11746595	cebp-1,eor-1	2	cold
chrIII:11746715-11746842	aly-2,blmp-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-28,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,elt-2,elt-3,eor-1,ets-4,eyg-1,fax-1,fkh-10,fkh-8,fos-1,gmeb-2,hif-1,him-1,hlh-1,hlh-30,hlh-4,hlh-8,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lsy-12,lsy-2,madf-10,mdl-1,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rbr-2,rec-8,ref-2,rnt-1,sem-4,skn-1,sma-3,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,tbx-7,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zip-5,ztf-11,ztf-16,ztf-7	85	HOT
chrIII:11756342-11756494	.	0	cold
chrIII:11766753-11766899	.	0	cold
chrIII:11774536-11774641	blmp-1,cebp-1,ceh-82,ces-1,crh-2,daf-16,dpl-1,dve-1,efl-1,egl-5,elt-3,eor-1,fos-1,hlh-30,let-607,lin-35,lsy-2,mdl-1,nfya-1,nhr-23,nhr-25,pha-4,sem-4,sma-3,snpc-4,snu-23,unc-130,unc-55,unc-86,xbp-1	30	HOT
chrIII:11789519-11789711	snpc-4	1	cold
chrIII:11789902-11790012	.	0	cold
chrIII:11792598-11792715	atf-7,athp-1,cebp-1,ceh-14,ceh-18,ceh-34,ceh-36,ceh-48,ceh-79,ceh-82,che-1,cog-1,crh-2,daf-16,die-1,dpl-1,dsc-1,duxl-1,efl-1,egl-5,elt-2,elt-3,eor-1,ets-4,fax-1,fkh-10,fkh-8,fos-1,gmeb-2,hif-1,him-1,hlh-15,hlh-6,hlh-8,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mxl-1,nfya-1,nhr-102,nhr-179,nhr-20,nhr-232,nhr-47,nhr-48,nhr-71,nhr-76,nhr-80,nhr-90,npax-4,pha-2,pha-4,pqm-1,rbr-2,rec-8,repo-1,rnt-1,rpc-1,sem-4,sma-3,sma-9,snu-23,spr-1,sptf-1,swsn-7,tbx-2,ttx-3,unc-130,unc-3,unc-55,unc-86,xbp-1,zfp-2,ztf-16,ztf-18,ztf-26,ztf-4	87	HOT
chrIII:11792932-11793079	nhr-47,rec-8,ref-2,snpc-4	4	cold
chrIII:11794443-11794776	eor-1,sem-4,sptf-1	3	cold
chrIII:11799062-11799273	.	0	cold
chrIII:11810185-11810472	nhr-85	1	cold
chrIII:11811821-11812085	ceh-31,dpl-1,efl-1,eor-1,fos-1,hlh-30,hlh-6,hmg-11,lin-35,lsy-2,mdl-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-71,nhr-85,nhr-90,ref-2,sma-3,sma-9,snu-23,swsn-7	23	HOT
chrIII:11812443-11812642	.	0	cold
chrIII:11814287-11814512	.	0	cold
chrIII:11814724-11814867	blmp-1,eor-1,nhr-20,nhr-23,nhr-25,sem-4,sma-3,sma-9,snu-23	9	cold
chrIII:11816622-11816772	nhr-25,pag-3	2	cold
chrIII:11817880-11818023	daf-16,nhr-71,snpc-4,snu-23	4	cold
chrIII:11821646-11821884	.	0	cold
chrIII:11822387-11822585	ceh-28,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,lsy-2,nhr-20,nhr-80,pha-4,pqm-1	12	cold
chrIII:11823342-11823456	aha-1,atf-7,athp-1,blmp-1,cebp-1,ceh-18,ceh-28,ceh-30,ceh-31,ceh-48,ceh-82,ces-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-1,elt-2,elt-3,eor-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hlh-8,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-12,lsy-2,madf-10,mdl-1,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,tbx-2,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,ztf-11,ztf-18,ztf-4,ztf-7	75	HOT
chrIII:11824329-11824520	elt-2,nhr-80,pqm-1	3	cold
chrIII:11824661-11824843	die-1	1	cold
chrIII:11825685-11825797	athp-1,cebp-1,ceh-18,ceh-2,ceh-31,ceh-34,ceh-48,ceh-82,ces-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,eor-1,ets-4,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,lin-35,lsy-12,lsy-2,madf-10,mdl-1,mls-2,nfya-1,nhr-20,nhr-25,nhr-47,nhr-71,nhr-80,nhr-90,pax-1,pha-4,rbr-2,rnt-1,sem-4,skn-1,sma-3,snpc-4,snu-23,swsn-7,tbx-2,ttx-3,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1	56	HOT
chrIII:11829110-11829294	nfya-1	1	cold
chrIII:11829577-11829770	nfya-1	1	cold
chrIII:11830449-11830659	athp-1,cebp-1,daf-16,dao-5,dpff-1,dve-1,efl-1,hif-1,lsy-12,lsy-2,madf-10,nhr-48,repo-1	13	cold
chrIII:11831245-11831403	cebp-1,ceh-36,ceh-79,elt-2,lsy-2,sptf-1	6	cold
chrIII:11832592-11832794	ahr-1,ceh-31,ref-2,rnt-1,tbx-2,tbx-7,unc-130,zip-5	8	cold
chrIII:11832933-11833094	tbx-2	1	cold
chrIII:11834208-11834359	atf-7,cebp-1,daf-16,hlh-1,hlh-30,lsy-2,mdl-1,nhr-71,rbr-2,rnt-1,sem-4,sma-9,snu-23,sptf-1	14	cold
chrIII:11834796-11834929	blmp-1,cebp-1,ceh-28,crh-2,daf-16,dve-1,efl-1,egl-5,elt-2,fos-1,hlh-1,hlh-30,hmg-11,lsy-2,mdl-1,nhr-102,nhr-80,pha-4,pqm-1,skn-1,sma-3,sma-9,snpc-4,snu-23,unc-55	25	HOT
chrIII:11836011-11836174	cebp-1,crh-2,die-1,dsc-1,egl-13,egl-5,fkh-8,hif-1,hlh-30,lsy-2,madf-10,mdl-1,nhr-47,nhr-71,pha-4,zip-8	16	cold
chrIII:11836276-11836385	cebp-1,crh-2,die-1,egl-13,eor-1,fkh-8,hif-1,hlh-30,lsy-2,madf-10,mdl-1,nhr-47,nhr-71	13	cold
chrIII:11836726-11836847	efl-1,hlh-30,hmg-11,mdl-1,nhr-80,skn-1,unc-55	7	cold
chrIII:11847012-11847132	ceh-28,ceh-48,ces-1,lsy-2,pag-3	5	cold
chrIII:11847690-11847794	daf-16,dpl-1,dve-1,efl-1,egl-5,elt-2,eor-1,fkh-8,hlh-30,hmg-11,lin-35,lsy-2,mdl-1,nfya-1,nhr-80,pag-3,pha-4,snu-23,unc-130,unc-55,xbp-1	21	HOT
chrIII:11856976-11857311	.	0	cold
chrIII:11865471-11865655	.	0	cold
chrIII:11865932-11866095	.	0	cold
chrIII:11869296-11869404	athp-1,snpc-4,unc-130,xnd-1	4	cold
chrIII:11869577-11869761	efl-1,him-1,unc-130,xnd-1	4	cold
chrIII:11869975-11870120	aha-1,cebp-1,ceh-14,ceh-16,ceh-18,ceh-2,ceh-28,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,eor-1,ets-4,ets-7,eyg-1,fax-1,fkh-10,fkh-2,fkh-8,fos-1,gmeb-2,hif-1,hlh-15,hlh-30,hlh-6,hlh-8,hmg-11,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mef-2,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-237,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pag-3,pax-1,pha-2,pha-4,pqm-1,pros-1,rbr-2,ref-2,rnt-1,sdc-2,sem-4,skn-1,sma-3,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,tbx-7,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zip-5,ztf-11,ztf-26,ztf-4	96	HOT
chrIII:11878798-11878925	crh-2,daf-16,dve-1,elt-2,fos-1,nhr-80,pha-4,pqm-1	8	cold
chrIII:11880232-11880385	.	0	cold
chrIII:11881564-11881708	daf-16,dve-1,elt-2,fos-1,hif-1,nhr-80,nhr-90,pha-4,pqm-1,unc-62	10	cold
chrIII:11906950-11907044	.	0	cold
chrIII:11907249-11907405	.	0	cold
chrIII:11908714-11908890	.	0	cold
chrIII:11915455-11915532	ref-2	1	cold
chrIII:11915706-11915815	cebp-1,ceh-82,ces-1,dpl-1,dsc-1,efl-1,eor-1,fos-1,hmg-11,let-607,lin-35,lsy-2,mdl-1,nfya-1,nhr-20,nhr-47,nhr-84,nhr-90,pha-4,ref-2,rnt-1,sma-3,snu-23,swsn-7,unc-130,unc-55,unc-86,xbp-1	28	HOT
chrIII:11917858-11918026	.	0	cold
chrIII:11918252-11918348	daf-16,dve-1,elt-2,eor-1,hmg-11,irx-1,let-607,lsy-2,nhr-90,npax-4,pha-4,repo-1,rnt-1,sem-4,sma-3,snu-23,spr-1,sptf-1,unc-55	19	HOT
chrIII:11918837-11919033	.	0	cold
chrIII:11919935-11920063	.	0	cold
chrIII:11920320-11920430	cebp-1,ceh-28,ceh-30,ces-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,elt-2,elt-3,eor-1,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,jun-1,let-607,lin-35,lsy-2,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-90,pha-4,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,unc-130,unc-55,unc-86,xbp-1,ztf-4	47	HOT
chrIII:11921119-11921355	.	0	cold
chrIII:11921829-11922023	aly-2,cebp-1,ceh-79,daf-16,dpff-1,duxl-1,dve-1,efl-1,elt-3,eor-1,let-607,lsy-12,lsy-2,nhr-102,nhr-47,nhr-48,nhr-71,nhr-90,rbr-2,repo-1,rnt-1,sem-4,sma-3,snpc-4,snu-23,swsn-7,unc-130,unc-55,ztf-4	29	HOT
chrIII:11935051-11935269	ceh-14,ces-1,dsc-1,egl-13,fkh-8,hlh-30,lin-35,lsy-2,mdl-1,nfya-1,nhr-21,nhr-47,nhr-71,rnt-1,snu-23,swsn-7,unc-42,vab-15,xbp-1	19	HOT
chrIII:11935606-11935743	aly-1,ceh-18,daf-16,hlh-1,nhr-20,nhr-71,pop-1,rnt-1,sem-4,sma-9,unc-55	11	cold
chrIII:11935948-11936170	cebp-1,ceh-14,ceh-18,ceh-2,ceh-31,ces-1,che-1,crh-2,dsc-1,egl-13,eor-1,fkh-10,fkh-8,gmeb-2,hif-1,hmg-11,lin-35,lsy-2,madf-10,mef-2,nhr-232,nhr-47,nhr-71,nhr-80,rbr-2,sem-4,snpc-4,snu-23,swsn-7,tbx-2,unc-42,unc-55,unc-86,xbp-1,zfp-2	35	HOT
chrIII:11936651-11936764	fkh-8,nhr-71,swsn-7	3	cold
chrIII:11936954-11937088	ceh-14,dsc-1,eor-1,fkh-8,nfya-1,nhr-47,nhr-71,rnt-1,snu-23,swsn-7,xbp-1	11	cold
chrIII:11937927-11938063	aly-1,ceh-34,ces-1,crh-2,dsc-1,egl-5,eor-1,hlh-1,lin-35,lsy-2,nhr-71,rnt-1,sem-4,snu-23,unc-42,unc-55	16	cold
chrIII:11940060-11940158	.	0	cold
chrIII:11942747-11942893	ceh-18,ceh-31,ceh-34,cog-1,daf-16,dsc-1,efl-1,eor-1,hlh-1,lsy-2,mdl-1,mef-2,nfya-1,nhr-20,nhr-47,nhr-71,rnt-1,sma-9,snu-23,swsn-7,tbx-2,unc-55,xbp-1	23	HOT
chrIII:11946402-11946499	ahr-1,aly-2,atf-7,athp-1,blmp-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-31,ceh-32,ceh-34,ceh-79,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dmd-4,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,ets-4,ets-7,eyg-1,fax-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-15,hlh-30,hlh-4,hlh-6,hlh-8,hmbx-1,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,mdl-1,mef-2,nfya-1,nhr-102,nhr-12,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-84,nhr-85,nhr-90,pha-2,pha-4,pqm-1,rbr-2,rec-8,ref-2,rnt-1,sdc-2,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,ttx-3,unc-130,unc-3,unc-42,unc-55,unc-86,vab-15,xbp-1,xnd-1,zfp-2,zip-5,ztf-11,ztf-18,ztf-26,ztf-4,ztf-7	108	HOT
chrIII:11947093-11947282	ceh-36,nfya-1	2	cold
chrIII:11947573-11947758	cebp-1,daf-16,dve-1,elt-2,eor-1,ets-4,fos-1,hmg-11,jun-1,lin-35,lsy-2,nhr-20,nhr-80,pha-4,pop-1,pqm-1,snu-23,unc-42,xbp-1	19	HOT
chrIII:11948471-11948603	daf-16,fos-1,pha-4	3	cold
chrIII:11949236-11949403	cebp-1,daf-16,elt-2,eor-1,fos-1,nhr-80,pha-4,pqm-1	8	cold
chrIII:11967106-11967227	eor-1,snpc-4	2	cold
chrIII:11971436-11971539	ceh-28,ceh-48,ces-1,hmg-11,unc-55	5	cold
chrIII:11974116-11974264	.	0	cold
chrIII:11974493-11974596	ceh-31,dpl-1,efl-1,ets-4,hlh-30,hlh-8,lin-35,mdl-1,nfya-1,pha-4,snu-23,unc-55	12	cold
chrIII:11980476-11980600	eor-1,hmg-11,lsy-2,nhr-80,snu-23,unc-55	6	cold
chrIII:11980840-11980990	mls-2,nfya-1	2	cold
chrIII:11981589-11981741	cebp-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,elt-2,eor-1,fkh-8,fos-1,hif-1,hlh-30,hmg-11,lin-35,lsy-2,madf-10,mdl-1,nfya-1,nhr-25,nhr-47,nhr-80,pag-3,pha-4,rbr-2,sem-4,snpc-4,snu-23,unc-55,xbp-1	30	HOT
chrIII:11985160-11985321	dsc-1,fkh-8	2	cold
chrIII:11986290-11986545	.	0	cold
chrIII:11987373-11987591	.	0	cold
chrIII:11989884-11989993	crh-2,daf-16,dpl-1,dve-1,efl-1,elt-2,eor-1,hlh-30,hmg-11,lin-35,mdl-1,nhr-20,nhr-21,nhr-25,nhr-47,nhr-71,nhr-80,nhr-90,pha-4,sma-3,snu-23,swsn-7,unc-55	23	HOT
chrIII:12003255-12003390	atf-7,blmp-1,cebp-1,ceh-18,ceh-28,crh-2,daf-16,dpl-1,dve-1,efl-1,elt-2,elt-3,eor-1,fos-1,hif-1,hlh-1,hlh-30,hmg-11,jun-1,lin-35,lsy-2,madf-10,mdl-1,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rbr-2,rnt-1,sem-4,sma-3,sma-9,snpc-4,snu-23,swsn-7,unc-130,unc-62,xbp-1	48	HOT
chrIII:12005084-12005184	hlh-30,nhr-20,nhr-71,pha-4,snu-23	5	cold
chrIII:12005283-12005439	nhr-71	1	cold
chrIII:12006038-12006181	cebp-1,eor-1,nhr-80	3	cold
chrIII:12006200-12006350	cebp-1,eor-1,nhr-80	3	cold
chrIII:12009682-12009959	crh-2,egl-5,eor-1,hlh-30,nhr-20,nhr-25,nhr-47,nhr-71,nhr-85,pha-4,sma-3,snu-23,xbp-1	13	cold
chrIII:12013047-12013190	dpl-1,eor-1,hmg-11,nhr-23,nhr-25,nhr-71,nhr-85,sem-4,sma-3,snu-23	10	cold
chrIII:12014488-12014667	eor-1,nhr-20,nhr-71,nhr-85,sem-4,sma-3,snu-23,unc-130	8	cold
chrIII:12015580-12015790	blmp-1,cebp-1,elt-3,eor-1,hlh-30,mdl-1,nhr-20,nhr-23,nhr-25,nhr-71,nhr-85,pag-3,sma-3,sma-9,snu-23,unc-130	16	cold
chrIII:12017973-12018100	nhr-25,snu-23,swsn-7	3	cold
chrIII:12018663-12018858	eor-1,snu-23	2	cold
chrIII:12020092-12020224	atf-7,blmp-1,elt-3,lsy-2,mdl-1,nhr-20,nhr-23,nhr-71,nhr-85,nhr-90,sma-3,snu-23,xbp-1,zip-8	14	cold
chrIII:12021178-12021412	sma-3,ztf-26	2	cold
chrIII:12024754-12025057	.	0	cold
chrIII:12025263-12025532	nhr-21	1	cold
chrIII:12032371-12032489	.	0	cold
chrIII:12042108-12042215	ceh-31	1	cold
chrIII:12058482-12058585	ceh-28,ceh-48,ceh-82,ces-1,crh-2,dpl-1,dsc-1,dve-1,efl-1,egl-5,eor-1,fkh-10,fkh-8,fos-1,irx-1,lin-35,lsy-2,madf-10,nfya-1,nhr-20,nhr-23,nhr-47,nhr-71,nhr-85,nhr-90,pha-4,sem-4,snpc-4,snu-23,swsn-7,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,ztf-11	37	HOT
chrIII:12058973-12059091	cebp-1	1	cold
chrIII:12060077-12060269	ceh-14,ceh-36,dsc-1,tbx-2,unc-42	5	cold
chrIII:12073746-12073957	.	0	cold
chrIII:12079468-12079638	dsc-1	1	cold
chrIII:12080316-12080547	.	0	cold
chrIII:12080735-12080974	sem-4	1	cold
chrIII:12082163-12082330	ceh-14,ceh-36,dve-1,elt-2,lsy-2,sem-4,sma-3	7	cold
